id,side,datetime,result,h_id,h_name,h_abbr,a_id,a_name,a_abbr,h_goals,a_goals,h_xG,a_xG,che_goals,che_xG,opp_goals,opp_xG,gameweek
14095,a,2020-09-14 19:15:00,w,220,Brighton,BRI,80,Chelsea,CHE,1,3,1.44281,1.27062,3,1.27062,1,1.44281,1
14102,h,2020-09-20 15:30:00,l,80,Chelsea,CHE,87,Liverpool,LIV,0,2,0.904183,2.25211,0,0.904183,2,2.25211,2
14108,a,2020-09-26 16:30:00,d,76,West Bromwich Albion,WBA,80,Chelsea,CHE,3,3,0.911185,2.36046,3,2.36046,3,0.911185,3
14467,h,2020-10-03 11:30:00,w,80,Chelsea,CHE,78,Crystal Palace,CRY,4,0,2.51433,0.103249,4,2.51433,0,0.103249,4
14475,h,2020-10-17 14:00:00,d,80,Chelsea,CHE,74,Southampton,SOU,3,3,1.98708,1.42348,3,1.98708,3,1.42348,5
14491,a,2020-10-24 16:30:00,d,89,Manchester United,MUN,80,Chelsea,CHE,0,0,0.648427,0.219906,0,0.219906,0,0.648427,6
14496,a,2020-10-31 15:00:00,w,92,Burnley,BUR,80,Chelsea,CHE,0,3,0.407341,1.23077,3,1.23077,0,0.407341,7
14507,h,2020-11-07 17:30:00,w,80,Chelsea,CHE,238,Sheffield United,SHE,4,1,2.87622,0.743967,4,2.87622,1,0.743967,8
14521,a,2020-11-21 12:30:00,w,86,Newcastle United,NEW,80,Chelsea,CHE,0,2,0.368286,1.81923,2,1.81923,0,0.368286,9
14529,h,2020-11-29 16:30:00,d,80,Chelsea,CHE,82,Tottenham,TOT,0,0,0.974755,0.22689,0,0.974755,0,0.22689,10
14538,h,2020-12-05 20:00:00,w,80,Chelsea,CHE,245,Leeds,LED,3,1,4.89472,1.0277,3,4.89472,1,1.0277,11
14546,a,2020-12-12 20:00:00,l,72,Everton,EVE,80,Chelsea,CHE,1,0,1.2216,1.00627,0,1.00627,1,1.2216,12
14562,a,2020-12-15 18:00:00,l,229,Wolverhampton Wanderers,WOL,80,Chelsea,CHE,2,1,0.683783,1.56772,1,1.56772,2,0.683783,13
14567,h,2020-12-21 20:00:00,w,80,Chelsea,CHE,81,West Ham,WHU,3,0,2.41157,0.277737,3,2.41157,0,0.277737,14
14575,a,2020-12-26 17:30:00,l,83,Arsenal,ARS,80,Chelsea,CHE,3,1,1.94485,2.25414,1,2.25414,3,1.94485,15
14586,h,2020-12-28 17:30:00,d,80,Chelsea,CHE,71,Aston Villa,AVL,1,1,1.53701,0.730859,1,1.53701,1,0.730859,16
14603,h,2021-01-03 16:30:00,l,80,Chelsea,CHE,88,Manchester City,MCI,1,3,0.691013,3.18063,1,0.691013,3,3.18063,17
14617,a,2021-01-16 17:30:00,w,228,Fulham,FLH,80,Chelsea,CHE,0,1,0.46126,1.37939,1,1.37939,0,0.46126,18
14609,a,2021-01-19 20:15:00,l,75,Leicester,LEI,80,Chelsea,CHE,2,0,1.1449,0.615727,0,0.615727,2,1.1449,19
14630,h,2021-01-27 18:00:00,d,80,Chelsea,CHE,229,Wolverhampton Wanderers,WOL,0,0,0.663324,0.63192,0,0.663324,0,0.63192,20
14637,h,2021-01-31 12:00:00,w,80,Chelsea,CHE,92,Burnley,BUR,2,0,1.4405,0.390714,2,1.4405,0,0.390714,21
14653,a,2021-02-04 20:00:00,w,82,Tottenham,TOT,80,Chelsea,CHE,0,1,0.569446,2.393,1,2.393,0,0.569446,22
14662,a,2021-02-07 19:15:00,w,238,Sheffield United,SHE,80,Chelsea,CHE,1,2,0.623045,1.64144,2,1.64144,1,0.623045,23
14667,h,2021-02-15 20:00:00,w,80,Chelsea,CHE,86,Newcastle United,NEW,2,0,2.5428,0.432603,2,2.5428,0,0.432603,24
14682,a,2021-02-20 12:30:00,d,74,Southampton,SOU,80,Chelsea,CHE,1,1,0.496603,1.44849,1,1.44849,1,0.496603,25
14685,h,2021-02-28 16:30:00,d,80,Chelsea,CHE,89,Manchester United,MUN,0,0,1.17294,0.35954,0,1.17294,0,0.35954,26
14719,a,2021-03-04 20:15:00,w,87,Liverpool,LIV,80,Chelsea,CHE,0,1,0.247034,1.22635,1,1.22635,0,0.247034,27
14698,h,2021-03-08 18:00:00,w,80,Chelsea,CHE,72,Everton,EVE,2,0,2.57224,0.270757,2,2.57224,0,0.270757,28
14709,a,2021-03-13 12:30:00,d,245,Leeds,LED,80,Chelsea,CHE,0,0,0.382957,0.971054,0,0.971054,0,0.382957,29
14727,h,2021-04-03 11:30:00,l,80,Chelsea,CHE,76,West Bromwich Albion,WBA,2,5,2.55917,1.38315,2,2.55917,5,1.38315,30
14737,a,2021-04-10 16:30:00,w,78,Crystal Palace,CRY,80,Chelsea,CHE,1,4,0.602167,3.85472,4,3.85472,1,0.602167,31
14747,h,2021-04-20 19:00:00,d,80,Chelsea,CHE,220,Brighton,BRI,0,0,0.807348,0.459568,0,0.807348,0,0.459568,32
14763,a,2021-04-24 16:30:00,w,81,West Ham,WHU,80,Chelsea,CHE,0,1,0.267123,2.52059,1,2.52059,0,0.267123,33
14767,h,2021-05-01 16:30:00,w,80,Chelsea,CHE,228,Fulham,FLH,2,0,1.8433,0.290042,2,1.8433,0,0.290042,34
14781,a,2021-05-08 16:30:00,w,88,Manchester City,MCI,80,Chelsea,CHE,1,2,1.79168,0.619724,2,0.619724,1,1.79168,35
14790,h,2021-05-12 19:15:00,l,80,Chelsea,CHE,83,Arsenal,ARS,0,1,1.56786,0.692043,0,1.56786,1,0.692043,36
14797,h,2021-05-18 19:15:00,w,80,Chelsea,CHE,75,Leicester,LEI,2,1,2.86149,0.832596,2,2.86149,1,0.832596,37
14806,a,2021-05-23 15:00:00,l,71,Aston Villa,AVL,80,Chelsea,CHE,2,1,0.980413,3.43414,1,3.43414,2,0.980413,38
